tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy
WTA,overall,k32-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.19952147777094698,0.5791309865913276,0.6803023145961266
WTA,overall,k32-rank-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.1986297090252736,0.5782798764328915,0.6871783561240994
WTA,overall,k32-rank-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.19952147777094698,0.5791309865913276,0.6803023145961266
WTA,surface_blend_expanding,k32-fixed-half0-w0.25-bof,surface_adjusted_elo,1978-1982,8008,0.2003111758817105,0.5829417160447539,0.6821928071928072
WTA,surface_blend_expanding,k32-fixed-half0-w0.25-bof,surface_adjusted_elo,1983-1987,8053,0.20381080682977262,0.5887893323973403,0.670060846889358
WTA,surface_blend_expanding,k32-fixed-half0-w0.5-bof,surface_adjusted_elo,1978-1982,8008,0.20235707122574417,0.587429105050399,0.679070929070929
WTA,surface_blend_expanding,k32-fixed-half0-w0.5-bof,surface_adjusted_elo,1983-1987,8053,0.2041300529159562,0.5898360311958059,0.6654662858562027
WTA,surface_blend_expanding,k32-fixed-half0-w0.75-bof,surface_adjusted_elo,1978-1982,8008,0.20714239460471282,0.5984661059382944,0.6727022977022977
WTA,surface_blend_expanding,k32-fixed-half0-w0.75-bof,surface_adjusted_elo,1983-1987,8053,0.20679312843653794,0.5964423080993728,0.6636036259778965
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.25-bof,surface_adjusted_elo,1978-1982,8008,0.20238844572398737,0.5877460310692104,0.6754495504495505
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.25-bof,surface_adjusted_elo,1983-1987,8053,0.2030496408429211,0.5881835691276391,0.6737861666459705
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.5-bof,surface_adjusted_elo,1978-1982,8008,0.20472227252761932,0.5938035793344333,0.6748251748251748
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.5-bof,surface_adjusted_elo,1983-1987,8053,0.20452034677743663,0.5925554255398476,0.6722960387433254
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.75-bof,surface_adjusted_elo,1978-1982,8008,0.20924850022354718,0.6045608912669026,0.6649600399600399
WTA,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.75-bof,surface_adjusted_elo,1983-1987,8053,0.20782457207225105,0.6008534361189073,0.6637278033031169
