tour,slam,era,entry_bucket,is_unranked,match_appearances,entrants_lt_1,pct_entrants_lt_1,entrants_lt_5,pct_entrants_lt_5,entrants_lt_10,pct_entrants_lt_10,entrants_lt_20,pct_entrants_lt_20,missing_ids
WTA,Roland Garros,2010-2019,Q,False,131,3,2.2900763358778624,19,14.50381679389313,26,19.84732824427481,43,32.82442748091603,0
WTA,Roland Garros,2010-2019,Q,True,2,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2010-2019,WC,False,82,6,7.317073170731708,27,32.926829268292686,38,46.34146341463415,48,58.53658536585366,0
WTA,Roland Garros,2010-2019,WC,True,1,1,100.0,1,100.0,1,100.0,1,100.0,0
WTA,Roland Garros,2020-2025,DIRECT_OR_MISSING,False,1302,4,0.30721966205837176,11,0.8448540706605223,21,1.6129032258064515,43,3.302611367127496,0
WTA,Roland Garros,2020-2025,LL,False,25,0,0.0,0,0.0,0,0.0,5,20.0,0
WTA,Roland Garros,2020-2025,PR,False,16,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2020-2025,Q,False,119,6,5.042016806722689,16,13.445378151260504,34,28.571428571428573,55,46.21848739495798,0
WTA,Roland Garros,2020-2025,WC,False,62,2,3.225806451612903,13,20.967741935483872,21,33.87096774193548,32,51.61290322580645,0
WTA,US Open,1988-1999,DIRECT_OR_MISSING,False,2752,2,0.07267441860465117,11,0.3997093023255814,28,1.0174418604651163,85,3.0886627906976742,0
WTA,US Open,1988-1999,DIRECT_OR_MISSING,True,10,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,US Open,1988-1999,LL,False,16,0,0.0,1,6.25,3,18.75,9,56.25,0
WTA,US Open,1988-1999,Q,False,167,4,2.395209580838323,18,10.778443113772456,32,19.161676646706585,66,39.52095808383233,0
WTA,US Open,1988-1999,Q,True,3,3,100.0,3,100.0,3,100.0,3,100.0,0
WTA,US Open,1988-1999,WC,False,89,6,6.741573033707865,29,32.58426966292135,46,51.68539325842696,52,58.42696629213483,0
WTA,US Open,1988-1999,WC,True,11,7,63.63636363636363,8,72.72727272727273,8,72.72727272727273,8,72.72727272727273,0
WTA,US Open,2000-2009,DIRECT_OR_MISSING,False,2174,0,0.0,3,0.13799448022079117,10,0.45998160073597055,59,2.7138914443422264,0
WTA,US Open,2000-2009,DIRECT_OR_MISSING,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,US Open,2000-2009,LL,False,16,0,0.0,0,0.0,0,0.0,3,18.75,0
WTA,US Open,2000-2009,OTHER:SR,False,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,US Open,2000-2009,Q,False,231,17,7.359307359307359,52,22.51082251082251,77,33.333333333333336,110,47.61904761904762,0
WTA,US Open,2000-2009,Q,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,US Open,2000-2009,WC,False,99,12,12.121212121212121,35,35.35353535353536,50,50.505050505050505,65,65.65656565656566,0
WTA,US Open,2000-2009,WC,True,15,6,40.0,6,40.0,6,40.0,6,40.0,0
WTA,US Open,2010-2019,DIRECT_OR_MISSING,False,2303,5,0.21710811984368214,28,1.21580547112462,51,2.214502822405558,103,4.472427268779852,0
WTA,US Open,2010-2019,DIRECT_OR_MISSING,True,1,1,100.0,1,100.0,1,100.0,1,100.0,0
WTA,US Open,2010-2019,LL,False,7,0,0.0,0,0.0,3,42.857142857142854,3,42.857142857142854,0
WTA,US Open,2010-2019,Q,False,157,3,1.910828025477707,13,8.280254777070065,21,13.375796178343949,58,36.94267515923567,0
WTA,US Open,2010-2019,WC,False,70,11,15.714285714285714,20,28.571428571428573,28,40.0,47,67.14285714285714,0
WTA,US Open,2010-2019,WC,True,2,2,100.0,2,100.0,2,100.0,2,100.0,0
WTA,US Open,2020-2025,DIRECT_OR_MISSING,False,1367,5,0.365764447695684,16,1.1704462326261886,30,2.194586686174104,66,4.828090709583028,0
WTA,US Open,2020-2025,DIRECT_OR_MISSING,True,9,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,US Open,2020-2025,LL,False,16,0,0.0,0,0.0,0,0.0,3,18.75,0
WTA,US Open,2020-2025,Q,False,94,2,2.127659574468085,9,9.574468085106384,28,29.78723404255319,41,43.61702127659574,0
WTA,US Open,2020-2025,WC,False,38,7,18.42105263157895,9,23.68421052631579,15,39.473684210526315,18,47.36842105263158,0
WTA,Wimbledon,1988-1999,DIRECT_OR_MISSING,False,2716,1,0.036818851251840944,8,0.29455081001472755,24,0.8836524300441826,81,2.9823269513991164,0
WTA,Wimbledon,1988-1999,DIRECT_OR_MISSING,True,9,1,11.11111111111111,1,11.11111111111111,1,11.11111111111111,1,11.11111111111111,0
WTA,Wimbledon,1988-1999,LL,False,41,0,0.0,2,4.878048780487805,5,12.195121951219512,11,26.829268292682926,0
WTA,Wimbledon,1988-1999,OTHER:SR,False,2,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,1988-1999,Q,False,153,4,2.6143790849673203,13,8.49673202614379,31,20.26143790849673,53,34.64052287581699,0
WTA,Wimbledon,1988-1999,Q,True,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,1988-1999,SE,False,6,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,1988-1999,WC,False,106,6,5.660377358490566,18,16.9811320754717,29,27.358490566037737,47,44.339622641509436,0
WTA,Wimbledon,1988-1999,WC,True,12,2,16.666666666666668,7,58.333333333333336,8,66.66666666666667,8,66.66666666666667,0
WTA,Wimbledon,2000-2009,DIRECT_OR_MISSING,False,2213,0,0.0,1,0.04518752824220515,10,0.4518752824220515,51,2.304563940352463,0
WTA,Wimbledon,2000-2009,LL,False,14,0,0.0,4,28.571428571428573,4,28.571428571428573,6,42.857142857142854,0
WTA,Wimbledon,2000-2009,OTHER:SR,False,4,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2000-2009,OTHER:SR,True,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2000-2009,PR,False,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2000-2009,Q,False,182,1,0.5494505494505495,19,10.43956043956044,43,23.626373626373628,63,34.61538461538461,0
WTA,Wimbledon,2000-2009,Q,True,5,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2000-2009,WC,False,115,6,5.217391304347826,18,15.652173913043478,36,31.304347826086957,58,50.43478260869565,0
WTA,Wimbledon,2000-2009,WC,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2010-2019,DIRECT_OR_MISSING,False,2347,2,0.08521516829995739,15,0.6391137622496804,38,1.6190881976991904,92,3.91989774179804,0
WTA,Wimbledon,2010-2019,LL,False,8,0,0.0,1,12.5,1,12.5,2,25.0,0
WTA,Wimbledon,2010-2019,Q,False,124,4,3.225806451612903,22,17.741935483870968,30,24.193548387096776,47,37.903225806451616,0
WTA,Wimbledon,2010-2019,WC,False,60,0,0.0,7,11.666666666666666,18,30.0,23,38.333333333333336,0
WTA,Wimbledon,2010-2019,WC,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2020-2025,DIRECT_OR_MISSING,False,1101,2,0.18165304268846502,9,0.8174386920980926,19,1.7257039055404177,38,3.4514078110808355,0
WTA,Wimbledon,2020-2025,DIRECT_OR_MISSING,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Wimbledon,2020-2025,LL,False,19,0,0.0,0,0.0,4,21.05263157894737,7,36.8421052631579,0
WTA,Wimbledon,2020-2025,Q,False,96,0,0.0,9,9.375,26,27.083333333333332,48,50.0,0
WTA,Wimbledon,2020-2025,WC,False,53,0,0.0,10,18.867924528301888,13,24.528301886792452,14,26.41509433962264,0
