tour,slam,year,round,match_count
ATP,Roland Garros,1999,QF,4
ATP,Roland Garros,1999,SF,2
ATP,Roland Garros,1999,F,1
ATP,Roland Garros,2000,R128,64
ATP,Roland Garros,2000,R64,32
ATP,Roland Garros,2000,R32,16
ATP,Roland Garros,2000,R16,8
ATP,Roland Garros,2000,QF,4
ATP,Roland Garros,2000,SF,2
ATP,Roland Garros,2000,F,1
ATP,Roland Garros,2001,R128,64
ATP,Roland Garros,2001,R64,32
ATP,Roland Garros,2001,R32,16
ATP,Roland Garros,2001,R16,8
ATP,Roland Garros,2001,QF,4
ATP,Roland Garros,2001,SF,2
ATP,Roland Garros,2001,F,1
ATP,Roland Garros,2002,R128,64
ATP,Roland Garros,2002,R64,32
ATP,Roland Garros,2002,R32,16
ATP,Roland Garros,2002,R16,8
ATP,Roland Garros,2002,QF,4
ATP,Roland Garros,2002,SF,2
ATP,Roland Garros,2002,F,1
ATP,Roland Garros,2003,R128,64
ATP,Roland Garros,2003,R64,32
ATP,Roland Garros,2003,R32,16
ATP,Roland Garros,2003,R16,8
ATP,Roland Garros,2003,QF,4
ATP,Roland Garros,2003,SF,2
ATP,Roland Garros,2003,F,1
ATP,Roland Garros,2004,R128,64
ATP,Roland Garros,2004,R64,32
ATP,Roland Garros,2004,R32,16
ATP,Roland Garros,2004,R16,8
ATP,Roland Garros,2004,QF,4
ATP,Roland Garros,2004,SF,2
ATP,Roland Garros,2004,F,1
ATP,Roland Garros,2005,R128,64
ATP,Roland Garros,2005,R64,32
ATP,Roland Garros,2005,R32,16
ATP,Roland Garros,2005,R16,8
ATP,Roland Garros,2005,QF,4
ATP,Roland Garros,2005,SF,2
ATP,Roland Garros,2005,F,1
ATP,Roland Garros,2006,R128,64
ATP,Roland Garros,2006,R64,32
ATP,Roland Garros,2006,R32,16
ATP,Roland Garros,2006,R16,8
ATP,Roland Garros,2006,QF,4
ATP,Roland Garros,2006,SF,2
ATP,Roland Garros,2006,F,1
ATP,Roland Garros,2007,R128,64
ATP,Roland Garros,2007,R64,32
ATP,Roland Garros,2007,R32,16
ATP,Roland Garros,2007,R16,8
ATP,Roland Garros,2007,QF,4
ATP,Roland Garros,2007,SF,2
ATP,Roland Garros,2007,F,1
ATP,Roland Garros,2008,R128,64
ATP,Roland Garros,2008,R64,32
ATP,Roland Garros,2008,R32,16
ATP,Roland Garros,2008,R16,8
ATP,Roland Garros,2008,QF,4
ATP,Roland Garros,2008,SF,2
ATP,Roland Garros,2008,F,1
ATP,Roland Garros,2009,R128,64
ATP,Roland Garros,2009,R64,32
ATP,Roland Garros,2009,R32,16
ATP,Roland Garros,2009,R16,8
ATP,Roland Garros,2009,QF,4
ATP,Roland Garros,2009,SF,2
ATP,Roland Garros,2009,F,1
ATP,Roland Garros,2010,R128,64
ATP,Roland Garros,2010,R64,32
ATP,Roland Garros,2010,R32,16
ATP,Roland Garros,2010,R16,8
ATP,Roland Garros,2010,QF,4
ATP,Roland Garros,2010,SF,2
ATP,Roland Garros,2010,F,1
ATP,Roland Garros,2011,R128,64
ATP,Roland Garros,2011,R64,32
ATP,Roland Garros,2011,R32,16
ATP,Roland Garros,2011,R16,8
ATP,Roland Garros,2011,QF,4
ATP,Roland Garros,2011,SF,2
ATP,Roland Garros,2011,F,1
ATP,Roland Garros,2012,R128,64
ATP,Roland Garros,2012,R64,32
ATP,Roland Garros,2012,R32,16
ATP,Roland Garros,2012,R16,8
ATP,Roland Garros,2012,QF,4
ATP,Roland Garros,2012,SF,2
ATP,Roland Garros,2012,F,1
ATP,Roland Garros,2013,R128,64
ATP,Roland Garros,2013,R64,32
ATP,Roland Garros,2013,R32,16
ATP,Roland Garros,2013,R16,8
ATP,Roland Garros,2013,QF,4
ATP,Roland Garros,2013,SF,2
ATP,Roland Garros,2013,F,1
ATP,Roland Garros,2014,R128,64
ATP,Roland Garros,2014,R64,32
ATP,Roland Garros,2014,R32,16
ATP,Roland Garros,2014,R16,8
ATP,Roland Garros,2014,QF,4
ATP,Roland Garros,2014,SF,2
ATP,Roland Garros,2014,F,1
ATP,Roland Garros,2015,R128,64
ATP,Roland Garros,2015,R64,32
ATP,Roland Garros,2015,R32,16
ATP,Roland Garros,2015,R16,8
ATP,Roland Garros,2015,QF,4
ATP,Roland Garros,2015,SF,2
ATP,Roland Garros,2015,F,1
ATP,Roland Garros,2016,R128,64
ATP,Roland Garros,2016,R64,32
ATP,Roland Garros,2016,R32,16
ATP,Roland Garros,2016,R16,8
ATP,Roland Garros,2016,QF,4
ATP,Roland Garros,2016,SF,2
ATP,Roland Garros,2016,F,1
ATP,Roland Garros,2017,R128,64
ATP,Roland Garros,2017,R64,32
ATP,Roland Garros,2017,R32,16
ATP,Roland Garros,2017,R16,8
ATP,Roland Garros,2017,QF,4
ATP,Roland Garros,2017,SF,2
ATP,Roland Garros,2017,F,1
ATP,Roland Garros,2018,R128,64
ATP,Roland Garros,2018,R64,32
ATP,Roland Garros,2018,R32,16
ATP,Roland Garros,2018,R16,8
ATP,Roland Garros,2018,QF,4
ATP,Roland Garros,2018,SF,2
ATP,Roland Garros,2018,F,1
ATP,Roland Garros,2019,R128,64
ATP,Roland Garros,2019,R64,32
ATP,Roland Garros,2019,R32,16
ATP,Roland Garros,2019,R16,8
ATP,Roland Garros,2019,QF,4
ATP,Roland Garros,2019,SF,2
ATP,Roland Garros,2019,F,1
ATP,Roland Garros,2020,R128,64
ATP,Roland Garros,2020,R64,32
ATP,Roland Garros,2020,R32,16
ATP,Roland Garros,2020,R16,8
ATP,Roland Garros,2020,QF,4
ATP,Roland Garros,2020,SF,2
ATP,Roland Garros,2020,F,1
ATP,Roland Garros,2021,R128,64
ATP,Roland Garros,2021,R64,32
ATP,Roland Garros,2021,R32,16
