analysis_version,population,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2008,2008,2008,121,121,121,36.11436355925845,30,-6.11436355925845,29.846581453932604,24.793388429752067,-5.053193024180538,-1.261836822618466,0.1631115444798094,0.49706863662881773,1,1,1,2000,3621581281098249154,0.95,29.846581453932604,29.846581453932604,24.793388429752067,24.793388429752067,-5.053193024180538,-5.053193024180538,-1.261836822618466,-1.261836822618466,0.1631115444798094,0.1631115444798094,0.49706863662881773,0.49706863662881773
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2009,2009,2009,123,123,123,36.00493132131242,28,-8.00493132131242,29.27230188724587,22.764227642276424,-6.508074244969446,-1.661627258048409,0.15677427945829298,0.4787817887797483,1,1,1,2000,4492059013032556152,0.95,29.27230188724587,29.27230188724587,22.764227642276424,22.764227642276424,-6.508074244969446,-6.508074244969446,-1.661627258048409,-1.661627258048409,0.15677427945829298,0.15677427945829298,0.4787817887797483,0.4787817887797483
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2010,2010,2010,119,119,119,35.04164668198513,28,-7.041646681985128,29.44676191763456,23.529411764705884,-5.917350152928679,-1.4685343004578368,0.16173430346937828,0.4941494527225,1,1,1,2000,12722862816126308522,0.95,29.44676191763456,29.44676191763456,23.529411764705884,23.529411764705884,-5.917350152928679,-5.917350152928679,-1.4685343004578368,-1.4685343004578368,0.16173430346937828,0.16173430346937828,0.4941494527225,0.4941494527225
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2011,2011,2011,116,116,116,34.171215586394254,24,-10.171215586394254,29.457944471029528,20.689655172413794,-8.768289298615736,-2.1504397276875227,0.14517761860225478,0.456172434306,1,1,1,2000,2788209370356949401,0.95,29.457944471029528,29.457944471029528,20.689655172413794,20.689655172413794,-8.768289298615736,-8.768289298615736,-2.1504397276875227,-2.1504397276875227,0.14517761860225478,0.14517761860225478,0.456172434306,0.456172434306
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2012,2012,2012,123,123,123,35.04757447413676,26,-9.04757447413676,28.493962987103057,21.13821138211382,-7.355751604989235,-1.8845364338633215,0.16147448943275503,0.4901942877205574,1,1,1,2000,8373781385574153538,0.95,28.493962987103057,28.493962987103057,21.13821138211382,21.13821138211382,-7.355751604989235,-7.355751604989235,-1.8845364338633215,-1.8845364338633215,0.16147448943275503,0.16147448943275503,0.4901942877205574,0.4901942877205574
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2013,2013,2013,122,122,122,34.31335471302969,33,-1.313354713029689,28.125700584450566,27.049180327868854,-1.0765202565817122,-0.2767014777836907,0.18513586974273544,0.5421017102353171,1,1,1,2000,15467447881816471161,0.95,28.125700584450566,28.125700584450566,27.049180327868854,27.049180327868854,-1.0765202565817122,-1.0765202565817122,-0.2767014777836907,-0.2767014777836907,0.18513586974273544,0.18513586974273544,0.5421017102353171,0.5421017102353171
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2014,2014,2014,117,117,117,34.560026581892636,35,0.439973418107364,29.538484258027893,29.914529914529915,0.3760456565020205,0.09313035852218791,0.1806210670947927,0.5300120017502871,1,1,1,2000,12383406509376789252,0.95,29.538484258027893,29.538484258027893,29.914529914529915,29.914529914529915,0.3760456565020205,0.3760456565020205,0.09313035852218791,0.09313035852218791,0.1806210670947927,0.1806210670947927,0.5300120017502871,0.5300120017502871
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2015,2015,2015,113,113,113,32.31016817485111,24,-8.310168174851107,28.593069181284168,21.238938053097346,-7.354131128186821,-1.805439067376902,0.15919816182006827,0.4874050150749529,1,1,1,2000,1198160875336545341,0.95,28.593069181284168,28.593069181284168,21.238938053097346,21.238938053097346,-7.354131128186821,-7.354131128186821,-1.805439067376902,-1.805439067376902,0.15919816182006827,0.15919816182006827,0.4874050150749529,0.4874050150749529
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2016,2016,2016,117,117,117,34.62298885317935,27,-7.622988853179351,29.592298165110556,23.076923076923077,-6.515375088187479,-1.6079005326526892,0.18205090583224504,0.5408727478499296,1,1,1,2000,7799167269157683147,0.95,29.592298165110556,29.592298165110556,23.076923076923077,23.076923076923077,-6.515375088187479,-6.515375088187479,-1.6079005326526892,-1.6079005326526892,0.18205090583224504,0.18205090583224504,0.5408727478499296,0.5408727478499296
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2017,2017,2017,121,121,121,38.777856558175976,39,0.22214344182402357,32.04781533733552,32.231404958677686,0.18358962134216825,0.04475807996789344,0.2010530446941408,0.5849546059461551,1,1,1,2000,6178725936125702927,0.95,32.04781533733552,32.04781533733552,32.231404958677686,32.231404958677686,0.18358962134216825,0.18358962134216825,0.04475807996789344,0.04475807996789344,0.2010530446941408,0.2010530446941408,0.5849546059461551,0.5849546059461551
