analysis_version,population,tour,slam,model,dimension,group_value,bin_index,bin_lower,bin_upper,bin_upper_inclusive,calibration_matches,mean_favorite_probability,favorite_win_rate,calibration_error
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2004,3,0.8,0.9,False,16,0.8385579432420476,0.8125,-0.026057943242047577
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2004,4,0.9,1.0,True,4,0.9198234006080754,1.0,0.08017659939192456
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2005,0,0.5,0.6,False,28,0.5480365013945094,0.6071428571428571,0.05910635574834766
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2005,1,0.6,0.7,False,37,0.6503551978662994,0.6486486486486487,-0.001706549217650677
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2005,2,0.7,0.8,False,34,0.748284060827962,0.8235294117647058,0.0752453509367439
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2005,3,0.8,0.9,False,17,0.8301801973604426,0.9411764705882353,0.11099627322779271
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2005,4,0.9,1.0,True,5,0.9315817422947568,1.0,0.06841825770524324
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2006,0,0.5,0.6,False,33,0.5390348361297745,0.5151515151515151,-0.023883320978259404
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2006,1,0.6,0.7,False,31,0.6532434701873627,0.7096774193548387,0.056433949167476016
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2006,2,0.7,0.8,False,25,0.7499189060728914,0.72,-0.029918906072891382
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2006,3,0.8,0.9,False,26,0.8367804538122705,0.8076923076923077,-0.0290881461199628
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2006,4,0.9,1.0,True,8,0.9346959489362922,1.0,0.06530405106370785
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2007,0,0.5,0.6,False,27,0.560170320441746,0.48148148148148145,-0.07868883896026452
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2007,1,0.6,0.7,False,31,0.6469782026597354,0.5161290322580645,-0.13084917040167088
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2007,2,0.7,0.8,False,32,0.7367914746427169,0.96875,0.23195852535728312
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2007,3,0.8,0.9,False,25,0.8455086331122876,0.96,0.11449136688771233
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2007,4,0.9,1.0,True,5,0.9417467329787336,1.0,0.05825326702126643
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2008,0,0.5,0.6,False,28,0.545209022197252,0.5714285714285714,0.026219549231319417
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2008,1,0.6,0.7,False,41,0.6468659669225009,0.7317073170731707,0.08484135015066985
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2008,2,0.7,0.8,False,23,0.7460460511829198,0.7391304347826086,-0.006915616400311131
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2008,3,0.8,0.9,False,25,0.8541210613049944,0.96,0.10587893869500553
