analysis_version,sample,variant_label,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips_vs_frozen_market,ties_created_vs_frozen_market,ties_removed_vs_frozen_market,bootstrap_unit,bootstrap_replicates,bootstrap_seed
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,WTA,US Open,2007,2025,2375,2375,2375,629.3418198562438,615,-14.341819856243774,26.498602941315525,25.894736842105264,-0.6038660992102641,-0.6993161328244323,0.1744437022990035,0.5226881689892362,19,19,19,25.641535430886254,27.32413164013786,24.48457913709697,27.4949994483063,-1.6225488484798032,0.5900638827985965,-1.8800768357556934,0.6835580180467159,0.16760528517347978,0.1807516527492461,0.5053348418983551,0.5384856076836997,0,0,4,tour-Slam tournament edition,2000,11804707766234150374
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,WTA,Wimbledon,2007,2025,2242,2242,2242,604.0186817952651,633,28.981318204734862,26.941065200502457,28.23371989295272,1.2926546924502613,1.4428028818145282,0.1839915419192525,0.5450138447086148,18,18,18,25.791106586503656,27.89250043873221,26.316967328577274,30.10727547614435,-0.4915354954387365,3.033512963101894,-0.557204682730727,3.395195980442851,0.17551216264242875,0.19228211419098762,0.5242432522513693,0.5650509965264157,0,0,1,tour-Slam tournament edition,2000,172360930754247172
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,ATP,Australian Open,2001,2025,2958,2958,2958,731.669642393774,697,-34.669642393773984,24.735282028187086,23.563218390804597,-1.1720636373824875,-1.5616161164313707,0.15693416994763548,0.47489484584309977,25,25,25,23.972390180317454,25.650864112154014,22.06866221828193,25.17347563042459,-2.165285510193309,-0.09086106891787055,-2.8928768584472326,-0.1194387539472404,0.15106855800406518,0.16373623999275444,0.4598812639366278,0.49192320748074414,0,0,0,tour-Slam tournament edition,2000,3646395131404820057
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,ATP,Roland Garros,2001,2025,3036,3036,3036,738.9779540127937,694,-44.9779540127937,24.340512319261983,22.859025032938078,-1.4814872863239033,-2.0133291821745765,0.15769135460935774,0.4789482901123985,25,25,25,23.492054892577677,25.19654726935605,21.00209394586498,24.68701283266039,-2.8980229156580113,-0.06002164505033127,-3.9818036318215073,-0.08067820631101366,0.14956398835526882,0.16606158556404574,0.45804481886919657,0.49960484383318504,0,0,1,tour-Slam tournament edition,2000,1532140314285025545
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,ATP,US Open,2001,2025,2992,2992,2992,741.2785969549344,743,1.7214030450655855,24.775354176301285,24.832887700534762,0.05753352423347546,0.07704331924464633,0.16577561760508647,0.4987059456057993,25,25,25,24.08230391592692,25.542994056426654,23.578276608877122,26.112067408372795,-1.118141854320169,1.2383137382776728,-1.489982388000454,1.669703379714419,0.1593109655343069,0.1723092493788098,0.48212000366175756,0.5145789812157003,1,0,5,tour-Slam tournament edition,2000,15374738489092347236
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,ATP,Wimbledon,2001,2025,2933,2933,2933,731.4205163908073,667,-64.42051639080728,24.93762415243121,22.741220593249235,-2.1964035591819733,-2.903663618493704,0.15934353812757923,0.4850712692456334,24,24,24,24.021108223857333,25.898447285109324,21.271502455724733,24.374635993011065,-3.8122749843445995,-0.6860582696989241,-5.014987909161257,-0.9070850391133972,0.15282796098956888,0.1667732945569862,0.46769291812706565,0.5042267701209724,0,0,3,tour-Slam tournament edition,2000,9129217626386120212
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,WTA,Australian Open,2007,2025,2382,2382,2382,632.511959441558,652,19.48804055844198,26.553818616354242,27.371956339210747,0.8181377228565063,0.949675162381782,0.174698174056231,0.5216330744248713,19,19,19,25.71026186557345,27.466397757872656,25.8387250016235,29.031147945621626,-0.7879691598394692,2.501170123373762,-0.9116739307950246,2.9349253275039935,0.16775456262877153,0.18281552567074755,0.5042073582942989,0.5415687319634597,0,0,2,tour-Slam tournament edition,2000,13789126663215804527
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,WTA,Roland Garros,2007,2025,2368,2368,2368,632.0302332545142,649,16.9697667454858,26.690465931356172,27.407094594594593,0.7166286632384206,0.8268990346803378,0.17618801885537225,0.5244614161032225,19,19,19,25.918043259155237,27.468204369647303,25.377344000949435,29.493685680009897,-0.8956628541371976,2.501399060180289,-1.0403837724989127,2.8758708512172433,0.16789816157707044,0.1845370979162374,0.5035665128430161,0.5448837742069105,0,0,3,tour-Slam tournament edition,2000,2796014694320515558
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,WTA,US Open,2007,2025,2375,2375,2375,629.3418198562438,615,-14.341819856243774,26.498602941315525,25.894736842105264,-0.6038660992102641,-0.6993161328244323,0.1744437022990035,0.5226881689892362,19,19,19,25.640387658884006,27.285694457926866,24.474045792320226,27.44069207789042,-1.6309052169054905,0.5748930692773041,-1.8856417489076907,0.660484328665573,0.16759405713072034,0.18071542477663025,0.5053878035038611,0.5388157282101598,0,0,4,tour-Slam tournament edition,2000,14215524267485102162
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,WTA,Wimbledon,2007,2025,2242,2242,2242,604.0186817952651,633,28.981318204734862,26.941065200502457,28.23371989295272,1.2926546924502613,1.4428028818145282,0.1839915419192525,0.5450138447086148,18,18,18,25.808766349579294,27.918197279960832,26.247716330142538,30.053879919181114,-0.45792111380585554,3.016154210379032,-0.5156415331488342,3.3668237747424103,0.17540934113209888,0.1919824489971501,0.5239820719739452,0.5646494904462499,0,0,1,tour-Slam tournament edition,2000,16373167711893429025
