robustness_version,scenario,category,comparison_value,preferred_analysis,tour,slam,model,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,note
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Wimbledon,surface_adjusted_elo,2007,2025,1978,1978,1978,589.4514961249085,596,6.5485038750914555,29.800378974970098,30.131445904954496,0.3310669299844012,0.3346721511108633,0.19277049234423305,0.5668273930795215,18,18,18,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Australian Open,market_odds,2001,2009,1012,1012,1012,291.54045866947826,259,-32.540458669478255,28.80834571832789,25.59288537549407,-3.2154603428338198,-2.342725171995335,0.1677994494330938,0.5069385024543698,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Australian Open,overall_elo,2001,2009,1012,1012,1012,315.01439169936486,278,-37.014391699364865,31.127904318119057,27.470355731225297,-3.6575485868937614,-2.59747651164953,0.1786831278143499,0.5337800638686889,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Australian Open,surface_adjusted_elo,2001,2009,1012,1012,1012,320.55345513647563,275,-45.553455136475634,31.67524260241854,27.17391304347826,-4.50132955894028,-3.176435634902826,0.1786420920871389,0.5345251671957214,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Roland Garros,market_odds,2001,2009,1072,1072,1072,305.61426511828245,274,-31.614265118282447,28.508793387899484,25.559701492537314,-2.9490918953621685,-2.223070577629949,0.17302777516006612,0.5189554629504436,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Roland Garros,overall_elo,2001,2009,1072,1072,1072,327.6344294509909,337,9.365570549009078,30.562913195055124,31.436567164179106,0.8736539691239812,0.6434061697793559,0.19423594286903534,0.567606950501287,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,Roland Garros,surface_adjusted_elo,2001,2009,1072,1072,1072,339.6975301769856,335,-4.697530176985595,31.688202441882986,31.250000000000004,-0.4382024418829846,-0.31881252999649107,0.1899454543359132,0.5585452689004939,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,US Open,market_odds,2001,2009,1084,1083,1083,306.3613966171859,259,-47.3613966171859,28.288217600848192,23.91505078485688,-4.373166815991312,-3.3260654587349476,0.16290365515086058,0.4955456552290475,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,US Open,overall_elo,2001,2009,1084,1084,1084,331.35341899348305,290,-41.35341899348305,30.567658578734598,26.752767527675278,-3.8148910510593215,-2.8302654199425366,0.17585678089974424,0.525967106756649,9,9,9,
slam-robustness-v1,common_era_2000-2009,fixed_era,2000-2009,False,ATP,US Open,surface_adjusted_elo,2001,2009,1084,1084,1084,340.464507428127,287,-53.46450742812698,31.408164891893634,26.476014760147603,-4.932150131746031,-3.626014373428473,0.17430199693449855,0.5232456224114828,9,9,9,
