analysis_version,sample,variant_label,comparison_model,difference_direction,market_brier_better,market_log_loss_better,market_proper_score_advantage_both,bootstrap_seed,tour,slam,score_matches,paired_upset_matches,paired_upset_exclusions_due_to_either_tie,primary_exact_ties,variant_exact_ties,ties_created,ties_removed,editions,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,6242929768169274389,ATP,US Open,2992,2986,6,1,5,5,1,25,tour-Slam edition,2000,-4.087555866914219,-4.717471917092603,-3.474831661412204,-2.143335565974548,-3.517676410220114,-0.8344259561070754,1.944220300939671,0.5270131319961133,3.21598997037508,-0.011416293460048556,-0.014673021573748895,-0.00865812585225762,-0.028078257675314973,-0.03545775265923531,-0.021448017749219228
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,8746535709468064563,WTA,Australian Open,2382,2380,2,0,2,2,0,19,tour-Slam edition,2000,1.1676483209046633,0.6844742427471301,1.6433325654124733,-1.6806722689075633,-2.948976495507114,-0.4615788587643773,-2.8483205898122264,-4.217414870792529,-1.5450923409139263,-0.011953868912031694,-0.015362775502375175,-0.00820135381335552,-0.027119686843659167,-0.03598917692553697,-0.01764535082898683
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,6216304971370539829,WTA,Roland Garros,2368,2365,3,0,3,3,0,19,tour-Slam edition,2000,-0.07933425480205014,-0.39643064465613226,0.20214929177071994,-2.6215644820295982,-4.424872071453366,-0.9286227481425785,-2.5422302272275483,-4.33516896505503,-0.8981623741561163,-0.01544222358114832,-0.018393019193554454,-0.012653520283885132,-0.036605655575158956,-0.04425140083545389,-0.029404289918977977
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,17177651274647704252,WTA,Wimbledon,2242,2241,1,0,1,1,0,18,tour-Slam edition,2000,-1.0146177033343657,-1.4723912140517403,-0.5544727428137584,-2.4096385542168672,-3.664067633220947,-0.9865249851326808,-1.3950208508825017,-2.9849268349263007,0.34277605102820985,-0.011569643346034806,-0.01544904713485682,-0.007352451807668453,-0.028252913304474547,-0.03752240013059524,-0.01849313954948345
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,14724646170523914837,WTA,US Open,2375,2371,4,0,4,4,0,19,tour-Slam edition,2000,0.46426096238543557,0.10179387555031227,0.8266043552238891,-2.6571067060312106,-4.0017692725152045,-1.3495846744655824,-3.1213676684166463,-4.424210521156248,-1.7874469407310678,-0.011418628518113613,-0.016810178786961606,-0.0065805138898877924,-0.027369857287727426,-0.04054799655496755,-0.01523441003337038
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,16625156141520106995,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,12439110217026530588,ATP,Roland Garros,3035,3034,1,1,1,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,17270165498800238841,ATP,Wimbledon,2931,2928,3,3,3,0,0,24,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,8902566989105741666,ATP,US Open,2990,2985,5,5,5,0,0,25,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,variant market minus comparison model,False,False,False,4272407550604014983,WTA,Australian Open,2382,2380,2,2,2,0,0,19,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
