tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
WTA,Roland Garros,era,2010-2019,1249,1245,380,154,59,844,205,30.522088353413654,38.311688311688314,24.28909952606635,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,era,2020-2025,742,742,255,61,21,469,141,34.36657681940701,34.42622950819672,30.063965884861407,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,F,38,38,17,33,14,38,17,44.73684210526316,42.42424242424242,44.73684210526316,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,QF,152,152,47,96,34,148,47,30.92105263157895,35.416666666666664,31.756756756756758,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,R128,2403,2374,748,0,0,982,188,31.508003369839933,,19.144602851323828,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,R16,298,298,79,141,41,267,70,26.51006711409396,29.078014184397162,26.217228464419474,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,R32,598,598,179,134,51,487,129,29.933110367892976,38.059701492537314,26.48870636550308,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,R64,1191,1181,318,0,0,779,156,26.926333615580017,,20.025673940949936,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,round,SF,75,75,23,59,19,74,23,30.666666666666668,32.20338983050848,31.08108108108108,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,seed_field_regime,observed_max_seed_1_16,1631,1601,450,105,34,725,123,28.10743285446596,32.38095238095238,16.96551724137931,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,seed_field_regime,observed_max_seed_above_16,3124,3115,961,358,125,2050,507,30.850722311396467,34.91620111731844,24.73170731707317,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
