robustness_version,odds_availability,tour,slam,dimension,group_value,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2015,125,125,125,35.25982490042756,41,5.74017509957244,28.20785992034205,32.800000000000004,4.592140079657952,1.1865805832977099,0.19315187576325085,0.5635043827855664,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2016,124,124,124,38.60436982493225,35,-3.604369824932249,31.13255631042923,28.2258064516129,-2.9067498588163296,-0.7234755428413405,0.18147178194880148,0.5394965509640987,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2017,125,125,125,40.58749221768355,35,-5.587492217683547,32.469993774146836,28.0,-4.469993774146838,-1.097707232899616,0.18155966008782917,0.5435156941048237,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2018,127,127,127,39.642263760754226,48,8.357736239245774,31.214380913979706,37.795275590551185,6.580894676571476,1.6658389557705477,0.22375933473150267,0.639632930789041,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2019,124,124,124,36.632057020658735,43,6.367942979341265,29.54198146827317,34.677419354838705,5.135437886565536,1.2948627053261705,0.2100899629346719,0.6071642463804825,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2021,125,125,125,39.57495231448893,36,-3.5749523144889324,31.65996185159115,28.8,-2.8599618515911462,-0.7044605351087808,0.19185227523473003,0.5651876827271238,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2022,124,124,124,38.05963846516217,49,10.940361534837827,30.693256826743685,39.516129032258064,8.822872205514376,2.2034440163811606,0.23064193829950289,0.6552081536437159,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2023,123,123,123,38.74016470567472,35,-3.7401647056747223,31.49606886640221,28.455284552845526,-3.0407843135566845,-0.7491145102728998,0.17980931349631918,0.5375623809312453,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2024,123,123,123,39.193234777490545,41,1.8067652225094548,31.864418518284996,33.333333333333336,1.4689148150483373,0.3613104757590138,0.21007963214203296,0.6046466198806155,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2025,125,125,125,39.01898102391613,35,-4.018981023916133,31.215184819132908,28.0,-3.2151848191329067,-0.7990964604436911,0.2013488120739192,0.588202365901567,1,1,1
slam-robustness-v1,observed_probability,ATP,Australian Open,round,F,24,24,24,7.447331057222733,6,-1.4473310572227334,31.030546071761393,25.0,-6.030546071761389,-0.660462354158363,0.16200981175982485,0.4968519177662239,24,24,24
slam-robustness-v1,observed_probability,ATP,Australian Open,round,QF,90,90,90,26.0615698460961,27,0.9384301539039015,28.957299828995666,30.0,1.042700171004335,0.2260119393883785,0.1793902054649918,0.5343909463121217,25,25,25
slam-robustness-v1,observed_probability,ATP,Australian Open,round,R128,1458,1458,1458,478.3094926405061,409,-69.30949264050611,32.80586369276448,28.052126200274348,-4.753737492490131,-3.9958274230929978,0.17939778166994047,0.534492582100169,25,25,25
slam-robustness-v1,observed_probability,ATP,Australian Open,round,R16,191,191,191,55.428386233581485,49,-6.4283862335814845,29.020097504492924,25.654450261780106,-3.3656472427128192,-1.0680775262304485,0.18054419368810715,0.5385544397064956,25,25,25
slam-robustness-v1,observed_probability,ATP,Australian Open,round,R32,378,378,378,111.0629187217231,89,-22.062918721723094,29.381724529556372,23.544973544973544,-5.836750984582829,-2.59880648382815,0.15993053293219803,0.48914012115124506,25,25,25
slam-robustness-v1,observed_probability,ATP,Australian Open,round,R64,771,771,771,217.4875097928514,184,-33.4875097928514,28.208496730590326,23.865110246433204,-4.34338648415712,-2.783734247477613,0.16466653421818306,0.5022277629157282,25,25,25
slam-robustness-v1,observed_probability,ATP,Australian Open,round,SF,46,46,46,13.782126122766151,13,-0.7821261227661509,29.961143745143804,28.26086956521739,-1.700274179926415,-0.259668323279023,0.19618417734383603,0.5771108655849979,24,24,24
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,F,25,25,25,8.204738364880795,7,-1.2047383648807948,32.81895345952318,28.0,-4.818953459523179,-0.5299348833349509,0.19116791203775615,0.575472727165847,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,QF,96,96,96,28.830792305983515,26,-2.8307923059835147,30.03207531873283,27.083333333333336,-2.9487419853994945,-0.6493020100257774,0.18186352237152323,0.5402706724049574,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,R128,1528,1526,1526,509.5784259019678,453,-56.57842590196782,33.39308164495202,29.685452162516384,-3.707629482435637,-3.17120491149233,0.1888849805034479,0.5567559985281942,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,R16,191,191,191,51.8768036314934,37,-14.876803631493402,27.160630173556754,19.3717277486911,-7.788902424865656,-2.516508724548915,0.1466605740323677,0.45913871497699144,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,R32,379,379,379,107.98751943310691,92,-15.987519433106911,28.49274919079338,24.274406332453825,-4.218342858339555,-1.8901477579235493,0.15445348491454747,0.47654841964070244,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,R64,770,770,770,223.5582792545946,191,-32.558279254594595,29.033542760336957,24.8051948051948,-4.228347955142155,-2.681434912423914,0.1707062581910331,0.5140993891610594,25,25,25
slam-robustness-v1,observed_probability,ATP,Roland Garros,round,SF,47,47,47,15.110943443415815,14,-1.110943443415815,32.150943496629395,29.78723404255319,-2.363709454076202,-0.3558944069748139,0.18679689680884015,0.5530341382499477,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,F,25,25,25,8.53310185850134,7,-1.5331018585013396,34.13240743400536,28.0,-6.1324074340053585,-0.6599911748272455,0.20701837486604757,0.6106892793052193,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,QF,96,96,96,28.279958707020544,25,-3.279958707020544,29.45829031981307,26.041666666666668,-3.4166236531464005,-0.7631256749165541,0.18693365201142206,0.5588111629986681,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,R128,1503,1503,1503,495.6424676815959,439,-56.64246768159592,32.97687742392521,29.208250166333997,-3.768627257591212,-3.2145013388524406,0.1873185585518699,0.5532570953808459,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,R16,190,190,190,54.245802993484425,50,-4.245802993484425,28.550422628149697,26.31578947368421,-2.2346331544654867,-0.7139594270416485,0.16726363008864845,0.5067595958755542,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,R32,375,375,375,109.30439874468229,88,-21.30439874468229,29.14783966524861,23.466666666666665,-5.6811729985819435,-2.519149675144597,0.16798745969992163,0.5053262365915798,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,R64,754,753,753,217.89920578543763,188,-29.89920578543763,28.937477527946562,24.9667994687915,-3.9706780591550634,-2.495263416377597,0.16715584482466278,0.5044547732930014,25,25,25
slam-robustness-v1,observed_probability,ATP,US Open,round,SF,49,49,49,13.91080036695293,9,-4.91080036695293,28.389388503985572,18.367346938775512,-10.022041565210062,-1.6111862498642704,0.14837918287268453,0.46423642589271136,25,25,25
